Iter, Clock_time, Time, Max_vel, Max_density, Mass, PE_tot, BPE_tot, BPE_from_int, Max_diss, Diss_tot, Max_u, KE_x, Max_w, KE_z, Enst_y_tot, Max_vort_y
0, 5.77179999999843929e-05, 0.00000000000000000e+00, 5.07757572410558449e-03, 4.99972405383850450e-03, 5.00250001127787357e+02, 1.22686312776590194e+03, 1.22631333734066743e+03, -0.00000000000000000e+00, 2.11846156554931150e-02, 1.28872028099683402e-03, 4.09286243584324264e-03, 2.52505074404995710e-04, 4.52219004178218854e-03, 2.49346559412446007e-04, 1.07191700833679515e-01, 2.99481103984796171e+00
1, 1.95470684999999977e-01, 3.12500000000000017e-03, 2.50312939048334942e-03, 4.99972371283712372e-03, 5.00250001328905796e+02, 1.22686312816134614e+03, 1.22631333743244340e+03, -4.36883497060873388e-11, 2.04932861959475701e-03, 7.83615404506651412e-05, 2.41860919384907303e-03, 5.29255707959219948e-05, 1.83204871086561460e-03, 5.30057392742810181e-05, 1.95903851126662878e-02, 1.25558211496516003e+00
2, 2.01969131999999996e-01, 6.25000000000000035e-03, 2.39761351880923802e-03, 4.99972536152738962e-03, 5.00250001261866714e+02, 1.22686312738587208e+03, 1.22631333742574179e+03, -2.84926420568549378e-11, 1.79554079624856251e-03, 6.82290589826625585e-05, 2.33703590570611113e-03, 4.96967162362177618e-05, 1.78729649618466612e-03, 4.99900808570699078e-05, 1.70572647456656290e-02, 1.12698657010327263e+00
3, 2.12199340000000070e-01, 1.25000000000000007e-02, 2.30878408939824134e-03, 4.99973232671349806e-03, 5.00250001560963369e+02, 1.22686312507879620e+03, 1.22631333756458116e+03, 1.09320488618562328e-10, 1.65045014138337455e-03, 6.26572961966088184e-05, 2.24475691627987195e-03, 4.85662281456283477e-05, 1.77430517412782490e-03, 4.98088509568243008e-05, 1.56643240491521965e-02, 1.09897468480928540e+00
4, 2.18876613000000053e-01, 2.50000000000000014e-02, 2.41465701002051151e-03, 4.99975311618970630e-03, 5.00250002334269823e+02, 1.22686311491046308e+03, 1.22631333786451887e+03, 8.39781294509336880e-10, 1.45162088765437560e-03, 6.00690222042915030e-05, 2.19700805631179493e-03, 5.10263245265796364e-05, 2.01474307135721380e-03, 5.65608598431663269e-05, 1.50172555510728733e-02, 1.04562164984457251e+00
5, 2.25530493000000054e-01, 5.00000000000000028e-02, 3.14470742002409933e-03, 4.99978607559850921e-03, 5.00250003368681519e+02, 1.22686307063073400e+03, 1.22631333815278776e+03, 4.15910426771808831e-09, 1.40262600490723990e-03, 6.04909517191194661e-05, 3.11303292916423422e-03, 6.49917055713730035e-05, 2.73019670786428439e-03, 8.80892836122508207e-05, 1.51227379297798597e-02, 1.09106736433445572e+00
6, 2.31216083000000072e-01, 1.00000000000000006e-01, 5.10195380415121285e-03, 4.99984590389344202e-03, 5.00250003990038522e+02, 1.22686288779748566e+03, 1.22631333782897218e+03, 1.81623710165165931e-08, 1.61401817633567268e-03, 6.52483315206927434e-05, 5.07441994538874487e-03, 1.22558866139408555e-04, 4.29104749814237466e-03, 2.16380030785601185e-04, 1.63120828801731933e-02, 1.14206459539885641e+00
7, 2.36307127000000006e-01, 2.00000000000000011e-01, 9.19191002028798415e-03, 5.00011620835849602e-03, 5.00250003199232992e+02, 1.22686215178582461e+03, 1.22631333526294998e+03, 7.51188089762870557e-08, 1.75854041957880015e-03, 7.10719785633043738e-05, 9.19119407978035742e-03, 3.48742420329669158e-04, 7.29891012733003500e-03, 7.26303438827393777e-04, 1.77679946408260854e-02, 1.10889105607470939e+00
8, 2.41058963000000070e-01, 3.00000000000000044e-01, 1.35417475358172376e-02, 5.00035765772662965e-03, 5.00250002253828825e+02, 1.22686092637873480e+03, 1.22631333217294741e+03, 1.70297503550478035e-07, 1.76238147450086063e-03, 6.49692253957678806e-05, 1.35391838875928584e-02, 7.20847878748414900e-04, 1.01945494887449618e-02, 1.57046265383981075e-03, 1.62423063489419706e-02, 1.05341852704162453e+00
9, 2.45802132999999978e-01, 3.70000000000000051e-01, 1.66956295619172940e-02, 5.00055332174504080e-03, 5.00250001973808537e+02, 1.22685977818223637e+03, 1.22631333068568642e+03, 2.59716656791029715e-07, 1.85408109926932718e-03, 5.82540888998291095e-05, 1.66945876300308785e-02, 1.06969701426289109e-03, 1.23567361130841619e-02, 2.36184633231596676e-03, 1.45635222249572635e-02, 1.08283367801913877e+00
10, 2.50510318000000010e-01, 4.27272727272727304e-01, 1.92971779834633025e-02, 5.00063653715756857e-03, 5.00250001913935535e+02, 1.22685866075330728e+03, 1.22631332974219595e+03, 3.46896580358651059e-07, 2.21140192805534437e-03, 5.42465794729208824e-05, 1.92971612919045181e-02, 1.41024795800951232e-03, 1.40415127721410116e-02, 3.13324558180957339e-03, 1.35616448682302146e-02, 1.09206797632609565e+00
